schema_table,description
whse_basemapping.fwa_watershed_groups_poly,"Contains polygons delimiting the watershed group boundary which is a collection of drainage area basins.  In-land groups will contain a single polygon coastal groups may contain multiple polygons (one for each island) i.e. this is a multipart polygon feature. Spatial geometry: multipart polygon"
whse_basemapping.fwa_watersheds_poly,"Contains all watershed polygons generated from principal watershed boundary lines bank edges delimiter edges coastline edges and administrative boundary edges following the 1:50K datamodel.  May contain multipart geometries.  Spatial type: multipart geometry"
whse_basemapping.fwa_wetlands_poly,"Contains all wetland polygons for the province.  Does not contain multipart geometries.  Spatial type: simple polygon"
whse_wildlife_management.crims_fulmar_shrwater_petrels,null
whse_wildlife_management.waa_game_management_zones_svw,null
whse_wildlife_management.crims_geese,null
whse_forest_vegetation.f_own,"This table contains forest ownership information for particular areas"
whse_mineral_tenure.geol_fault_line,null
whse_mineral_tenure.geol_quaternary_poly,null
whse_admin_boundaries.envcan_georgia_basin_bnd_line,"Georgia Basin Boundary Lines  (GEORGIA BASIN BND LINE) are the Geographical line  features that define the edge of the Georgia Basin polygon.  This is not a multipart feature class."
whse_admin_boundaries.envcan_georgia_basin_bnd_poly,"The Georgia Basin Boundary Polygon (GEORGIA BASIN BND POLY) is the a spatial feature delineating the Georgia Basin area. This is not a multipart feature."
whse_imagery_and_base_maps.gsr_golf_courses_sv,"GSR_GOLF_COURSES_SV is a spatially enabled layer comprising Golf Courses. Golf Courses is a point dataset identifying the locations of golf courses in British Columbia."
reg_land_and_natural_resource.grassland_encroachmnt_car_poly,null
whse_land_use_planning.rmp_landscape_rsrv_design_sp,
whse_wildlife_management.crims_blue_herons,null
whse_human_cultural_economic.cef_grizzly_bear_assessmt_sv,"Grizzly bear are one of the high-value resources identified for provincial assessment in British Columbia’s Cumulative Effects Framework.  Grizzly bear are an iconic species that occur across most of the province. They have environmental economic and social importance to the people of British Columbia because they are an umbrella species they provide hunting and viewing opportunities and they are important to First Nations rights and interests. Recognizing the importance of this species government has established objectives for grizzly bear management in land use plans as well as legislation and policy. Grizzly bear are also a wide-ranging species that depend on multiple well-connected ecosystems and/or on broad-scale ecosystem processes and functions making them susceptible to cumulative effects from impacts of multiple activities on the land base."
whse_wildlife_inventory.gcpb_grizzly_bear_pop_units_sp,"Grizzly Bear Population Units identify similar behavioural ecotypes and sub-populations of Grizzly bears. This dataset contains multiple versions as overlapping geometries."
whse_water_management.gw_aquifers_classification_svw,"Polygon features representing developed ground water aquifers in BC (that have been mapped). Most aquifer boundaries are delineated based on geology hydrology and topographic information. Some aquifer boundaries stop at the border of BC mapsheet boundaries due to resource or data constraints at the time of mapping."
whse_water_management.gw_well_capture_zones_sp,"WELL CAPTURE ZONES SP contains Province-wide SDE spatial layer showing the capture zones (e.g. land area that contributes water to the well) for drinking water supply wells in BC joined with attributes contained in  GW_WELL_CAPTURE_ZONES_TBL. This layer is an instantiation of the spatial view GW_WELL_CAPTURE_ZONES_SVW."
whse_water_management.gw_water_wells_wrbc_svw,"The locations of groundwater wells in BC."
whse_forest_vegetation.gry_psp_status_active,null
whse_wildlife_management.waa_guide_outfitter_area_svw,null
whse_wildlife_management.crims_gulls,null
reg_land_and_natural_resource.fwcp_ecosystem_enh_efforts_sp,null
whse_wildlife_management.crims_harbour_seal_haulouts,null
whse_forest_vegetation.veg_consolidated_cut_blocks_sp,null
whse_admin_boundaries.bcha_health_authority_bndry_sp,"Health Authority Boundaries are a mutually exclusive and exhaustive classification of the land area in BC."
whse_imagery_and_base_maps.gsr_frph_hlth_professional_svw,"GSR_FRPH_HLTH_PROFESSIONAL_SVW describes French-speaking health services  offered to French-speaking people in BC. The types of services include paramedical healthcare professionals such as dietician massage therapist optometrists psychology."
whse_admin_boundaries.bcha_health_serv_del_area_sp,"Health Service Delivery Areas (HSDA) are a mutually exclusive and exhaustive classification of the land area in BC and fit within a geographical hierarchy structure of the Health Authorities (HA)."
whse_imagery_and_base_maps.gsr_hellobc_accommodations_svw,"GSR_HELLOBC_ACCOMMODATIONS_SVW is a spatially enabled layer comprising HelloBC.com accommodation products listing e.g. hotel motel B and B etc."
whse_imagery_and_base_maps.gsr_hellobc_attractions_svw,"GSR_HELLOBC_ATTRACTIONS_SVW is a spatially enabled layer comprising HelloBC non-accommodation products listing e.g. transportation activities and attractions events etc."
whse_imagery_and_base_maps.gsr_hellobc_visitr_centres_svw,"GSR_HELLOBC_VISITR_CENTRES_SVW is a spatially enabled layer comprising Provincial and community visitor centres in British Columbia."
whse_human_cultural_economic.hist_heritage_cnsrv_areas_sv,"This dataset contains spatial and attribute data for local government Heritage Conservation Areas (HCAs) established for heritage conservation purposes in British Columbia as tracked by BC Heritage Branch. Under the Local Government Act a local government may designate a HCA within its Official Community Plan (OCP). An OCP may include a schedule of properties located within a Heritage Conservation Area that are considered to be protected heritage property. This is a multi-part polygon layer."
whse_wildlife_management.crims_herring_spawn,null
whse_human_cultural_economic.hist_historic_environments_sp,"The Historic Environment Spatial Layer contains polygons and related attributes representing post-1846 historic places in British Columbia that are recorded on the provincial heritage register. It does not include any archaeological site information. This is a polygon layer."
whse_human_cultural_economic.hist_hist_trail_areas_svw,"Spatial and tabular data on non-archaeological historic trails in B.C. Many of these trails or sections of trail are defined or protected under provincial legislation such as the Heritage Conservation Act. This dataset represents polygon feature data e.g. cleared areas associated with trails."
whse_human_cultural_economic.hist_hist_trail_feats_svw,"Spatial and tabular data on non-archaeological historic trails in B.C. Many of these trails or sections of trail are defined or protected under provincial legislation such as the Heritage Conservation Act. This dataset represents point feature data e.g. cabins landmarks."
